Orthogroup,overlaps,acidithiobacillus_ferrooxidans,acidithiobacillus_thiooxidans,burkholderia_pseudomallei,e_coli,l_ferriphilum.gbk,leptospirillum_ferrooxidans,pseudomonas_aeruginosa_pao1,s_maltophilia,shewanella_oneidensis,MEGAHIT-AR1_L2.36,MEGAHIT-AR2_L2.57,MEGAHIT-AR3_L2.6,MEGAHIT-AR4_L2.41,acidihalobacter_aeolianus,acidihalobacter_ferrooxydans,acidihalobacter_prosperus,acidihalobacter_yilgarnensis,acidithiobacillus_ferrooxidans_counts,acidithiobacillus_thiooxidans_counts,burkholderia_pseudomallei_counts,e_coli_counts,l_ferriphilum.gbk_counts,leptospirillum_ferrooxidans_counts,pseudomonas_aeruginosa_pao1_counts,s_maltophilia_counts,shewanella_oneidensis_counts,MEGAHIT-AR1_L2.36_counts,MEGAHIT-AR2_L2.57_counts,MEGAHIT-AR3_L2.6_counts,MEGAHIT-AR4_L2.41_counts,acidihalobacter_aeolianus_counts,acidihalobacter_ferrooxydans_counts,acidihalobacter_prosperus_counts,acidihalobacter_yilgarnensis_counts
OG0000015,1,,,,,,,,,WP_011071182.1,"IEKBFFFE_00186, IEKBFFFE_00516, IEKBFFFE_00517, IEKBFFFE_00603, IEKBFFFE_01414, IEKBFFFE_01766, IEKBFFFE_02978, IEKBFFFE_02988, IEKBFFFE_03479","OIDPMNJM_00322, OIDPMNJM_00323, OIDPMNJM_00414, OIDPMNJM_00770, OIDPMNJM_00855, OIDPMNJM_01776, OIDPMNJM_02531, OIDPMNJM_03547","LNLMDAFO_01005, LNLMDAFO_01113, LNLMDAFO_01114, LNLMDAFO_01632, LNLMDAFO_01912, LNLMDAFO_02030, LNLMDAFO_02590, LNLMDAFO_02734, LNLMDAFO_03003","KPCADNOF_00857, KPCADNOF_00944","AOV15760.1, AOV15880.1, AOV15982.1, AOV16950.1","APZ43464.1, APZ44256.1","OBS07998.1, OBS08419.1, OBS09258.1, OBS09371.1, OBS09484.1, OBS10741.1","AOU97073.1, AOU98115.1, AOU99250.1, AOU99340.1, AOU99801.1",0,0,0,0,0,0,0,0,1,9,8,9,2,4,2,6,5
OG0000020,4,,,,WP_000634283.1,"LFTS_00544, LFTS_00546, LFTS_01317",,,,,"IEKBFFFE_00379, IEKBFFFE_00382, IEKBFFFE_00846, IEKBFFFE_03722","OIDPMNJM_01431, OIDPMNJM_03947, OIDPMNJM_04071, OIDPMNJM_04074, OIDPMNJM_04245, OIDPMNJM_05046","LNLMDAFO_00251, LNLMDAFO_00525, LNLMDAFO_01362, LNLMDAFO_01365","KPCADNOF_01437, KPCADNOF_03760","AOV16183.1, AOV16821.1, AOV16823.1, AOV17138.1, AOV17387.1, AOV17567.1","APZ42831.1, APZ43488.1, APZ43535.1, APZ43809.1, APZ43967.1, APZ44667.1","OBS08886.1, OBS09614.1, OBS10545.1","AOU97055.1, AOU97469.1, AOU97694.1, AOU98524.1, AOU98527.1, AOU98648.1",0,0,0,1,3,0,0,0,0,4,6,4,2,6,6,3,6
OG0000022,1,WP_012537671.1,,,,,,,,,"IEKBFFFE_00016, IEKBFFFE_01720, IEKBFFFE_01818, IEKBFFFE_02745, IEKBFFFE_03588, IEKBFFFE_03772","OIDPMNJM_00047, OIDPMNJM_02304, OIDPMNJM_03087, OIDPMNJM_04387, OIDPMNJM_05257","LNLMDAFO_01233, LNLMDAFO_01868, LNLMDAFO_01902, LNLMDAFO_02048, LNLMDAFO_02113","KPCADNOF_01151, KPCADNOF_01992, KPCADNOF_02142, KPCADNOF_03720","AOV16129.1, AOV16968.1, AOV17401.1, AOV18451.1","APZ42053.1, APZ42068.1, APZ43942.1, APZ44149.1, APZ44688.1","OBS08860.1, OBS09678.1, OBS09866.1, OBS10764.1","AOU97452.1, AOU98094.1, AOU99705.1",1,0,0,0,0,0,0,0,0,6,5,5,4,4,5,4,3
OG0000023,1,WP_012536052.1,,,,,,,,,"IEKBFFFE_02461, IEKBFFFE_02462, IEKBFFFE_02463, IEKBFFFE_03387, IEKBFFFE_03388","OIDPMNJM_00563, OIDPMNJM_01374, OIDPMNJM_01375, OIDPMNJM_01388, OIDPMNJM_03850, OIDPMNJM_03851, OIDPMNJM_03852","LNLMDAFO_00114, LNLMDAFO_00115, LNLMDAFO_00458, LNLMDAFO_00459, LNLMDAFO_00460","KPCADNOF_01468, KPCADNOF_02870, KPCADNOF_02871","AOV16167.1, AOV16168.1, AOV18105.1, AOV18106.1, AOV18107.1","APZ42118.1, APZ42119.1, APZ42557.1, APZ42646.1, APZ44290.1, APZ44291.1, APZ44292.1","OBS07886.1, OBS07888.1, OBS08142.1, OBS08143.1, OBS08144.1, OBS09630.1, OBS09631.1","AOU96829.1, AOU96830.1, AOU96831.1, AOU97040.1, AOU97041.1, AOU97754.1, AOU97756.1",1,0,0,0,0,0,0,0,0,5,7,5,3,5,7,7,7
OG0000025,1,WP_009560918.1,,,,,,,,,"IEKBFFFE_00793, IEKBFFFE_01726, IEKBFFFE_02063","OIDPMNJM_02702, OIDPMNJM_03561, OIDPMNJM_05087","LNLMDAFO_00591, LNLMDAFO_02462, LNLMDAFO_03234",,"AOV18235.1, AOV18266.1","APZ41739.1, APZ42206.1, APZ44396.1","OBS08332.1, OBS09536.1","AOU96689.1, AOU99390.1",1,0,0,0,0,0,0,0,0,3,3,3,0,2,3,2,2
OG0000027,2,,,,WP_001272592.1,,,,,WP_164925869.1,"IEKBFFFE_01639, IEKBFFFE_02524, IEKBFFFE_02783","OIDPMNJM_00465, OIDPMNJM_01578, OIDPMNJM_03615, OIDPMNJM_04343","LNLMDAFO_00052, LNLMDAFO_00171, LNLMDAFO_00282","KPCADNOF_00193, KPCADNOF_01405, KPCADNOF_03893","AOV15856.1, AOV18634.1","APZ42147.1, APZ43438.1, APZ44445.1","OBS09064.1, OBS09399.1, OBS10700.1","AOU98175.1, AOU99271.1, AOU99763.1",0,0,0,1,0,0,0,0,1,3,4,3,3,2,3,3,3
OG0000030,1,,,,,,,,,WP_011073001.1,"IEKBFFFE_00081, IEKBFFFE_01641, IEKBFFFE_02386, IEKBFFFE_02674, IEKBFFFE_03010, IEKBFFFE_03067","OIDPMNJM_00653, OIDPMNJM_01010, OIDPMNJM_02107, OIDPMNJM_02478, OIDPMNJM_03617","LNLMDAFO_00054, LNLMDAFO_01485, LNLMDAFO_01874, LNLMDAFO_02676, LNLMDAFO_03426","KPCADNOF_00002, KPCADNOF_01552, KPCADNOF_01875, KPCADNOF_02034, KPCADNOF_02035, KPCADNOF_02179","AOV15858.1, AOV16309.1, AOV17750.1, AOV18414.1","APZ41746.1, APZ43372.1, APZ43702.1, APZ43929.1","OBS08529.1, OBS08565.1, OBS09397.1, OBS10185.1","AOU97168.1, AOU97199.1, AOU98890.1, AOU99269.1",0,0,0,0,0,0,0,0,1,6,5,5,6,4,4,4,4
OG0000031,1,,,,,,,,,WP_011070965.1,"IEKBFFFE_00253, IEKBFFFE_00401, IEKBFFFE_00784, IEKBFFFE_01256, IEKBFFFE_01301","OIDPMNJM_00117, OIDPMNJM_03516, OIDPMNJM_04434, OIDPMNJM_04776, OIDPMNJM_04814","LNLMDAFO_00393, LNLMDAFO_01335, LNLMDAFO_01744, LNLMDAFO_02531","KPCADNOF_00411, KPCADNOF_00524, KPCADNOF_00621, KPCADNOF_02096, KPCADNOF_02222, KPCADNOF_02735, KPCADNOF_02737, KPCADNOF_03246",AOV17973.1,APZ42822.1,"OBS09151.1, OBS10470.1","AOU97627.1, AOU99785.1",0,0,0,0,0,0,0,0,1,5,5,4,8,1,1,2,2
OG0000035,1,,,,,,,,,WP_011073808.1,"IEKBFFFE_01443, IEKBFFFE_02248, IEKBFFFE_02730, IEKBFFFE_02767, IEKBFFFE_02768",OIDPMNJM_02372,"LNLMDAFO_00297, LNLMDAFO_00298, LNLMDAFO_02199","KPCADNOF_02656, KPCADNOF_03724, KPCADNOF_03725","AOV17888.1, AOV17889.1, AOV18687.1","APZ42648.1, APZ43959.1, APZ44102.1","OBS09040.1, OBS09041.1, OBS09542.1","AOU98984.1, AOU99848.1",0,0,0,0,0,0,0,0,1,5,1,3,3,3,3,3,2
OG0000039,2,,,,,,,"NP_252797.1, NP_253469.1",,,IEKBFFFE_00839,"OIDPMNJM_01930, OIDPMNJM_02407, OIDPMNJM_04858, OIDPMNJM_05144",LNLMDAFO_02234,"KPCADNOF_00117, KPCADNOF_01255, KPCADNOF_01403, KPCADNOF_03142","AOV15837.1, AOV16673.1",APZ43832.1,"OBS08303.1, OBS09423.1","AOU96706.1, AOU99287.1",0,0,0,0,0,0,2,0,0,1,4,1,4,2,1,2,2
OG0000040,1,,,,,,,,,WP_011072952.1,"IEKBFFFE_00316, IEKBFFFE_02955","OIDPMNJM_02147, OIDPMNJM_02211","LNLMDAFO_01272, LNLMDAFO_02913","KPCADNOF_00216, KPCADNOF_01131, KPCADNOF_01786, KPCADNOF_03040, KPCADNOF_03730","AOV16662.1, AOV17007.1, AOV18603.1","APZ42424.1, APZ43511.1, APZ44685.1","OBS07878.1, OBS09519.1, OBS09782.1","AOU98829.1, AOU99376.1, AOU99692.1",0,0,0,0,0,0,0,0,1,2,2,2,5,3,3,3,3
OG0000045,2,,,,WP_000044401.1,,,NP_252798.1,,,"IEKBFFFE_00404, IEKBFFFE_00405","OIDPMNJM_03512, OIDPMNJM_03513","LNLMDAFO_02607, LNLMDAFO_02608",,AOV16258.1,,OBS08461.1,AOU97113.1,0,0,0,1,0,0,1,0,0,2,2,2,0,1,0,1,1
OG0000046,1,,,,,,,,,WP_011072720.1,"IEKBFFFE_02450, IEKBFFFE_03023, IEKBFFFE_03448","OIDPMNJM_01834, OIDPMNJM_02120, OIDPMNJM_03839","LNLMDAFO_00471, LNLMDAFO_01312, LNLMDAFO_01887",KPCADNOF_00043,"AOV16281.1, AOV17480.1","APZ42890.1, APZ44154.1, APZ44180.1","OBS08487.1, OBS10713.1","AOU97133.1, AOU98141.1",0,0,0,0,0,0,0,0,1,3,3,3,1,2,3,2,2
OG0000047,1,,,,,,,,,WP_011071632.1,"IEKBFFFE_03538, IEKBFFFE_03663","OIDPMNJM_04639, OIDPMNJM_05186","LNLMDAFO_01992, LNLMDAFO_02372","KPCADNOF_00143, KPCADNOF_00326, KPCADNOF_00499, KPCADNOF_00503, KPCADNOF_01068, KPCADNOF_01238, KPCADNOF_01322, KPCADNOF_01641, KPCADNOF_01755, KPCADNOF_02496, KPCADNOF_02528, KPCADNOF_03268, KPCADNOF_03440, KPCADNOF_03490",AOV16144.1,APZ44248.1,OBS09663.1,AOU97014.1,0,0,0,0,0,0,0,0,1,2,2,2,14,1,1,1,1
OG0000051,1,,,,,,,,,WP_011071945.1,"IEKBFFFE_00704, IEKBFFFE_01965, IEKBFFFE_02549","OIDPMNJM_00891, OIDPMNJM_01607","LNLMDAFO_00196, LNLMDAFO_01172",KPCADNOF_01500,"AOV16096.1, AOV17043.1, AOV17664.1, AOV18439.1","APZ41938.1, APZ42020.1, APZ42652.1","OBS07965.1, OBS08668.1, OBS08792.1, OBS10869.1","AOU96980.1, AOU97365.1, AOU97889.1, AOU98019.1, AOU99238.1",0,0,0,0,0,0,0,0,1,3,2,2,1,4,3,4,5
OG0000056,1,WP_009567373.1,,,,,,,,,IEKBFFFE_03755,OIDPMNJM_00387,LNLMDAFO_01028,"KPCADNOF_00226, KPCADNOF_00846",AOV17125.1,APZ43330.1,OBS10957.1,AOU97905.1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1
OG0000058,1,,,,,,,,,WP_011070784.1,"IEKBFFFE_00424, IEKBFFFE_00818","OIDPMNJM_00021, OIDPMNJM_02427","LNLMDAFO_00389, LNLMDAFO_02255","KPCADNOF_00565, KPCADNOF_00575, KPCADNOF_01186, KPCADNOF_01970","AOV15688.1, AOV16846.1, AOV17701.1, AOV18290.1","APZ42449.1, APZ43801.1, APZ44000.1, APZ44342.1","OBS08383.1, OBS08627.1","AOU96654.1, AOU97253.1, AOU99640.1",0,0,0,0,0,0,0,0,1,2,2,2,4,4,4,2,3
OG0000059,1,WP_012536114.1,,,,,,,,,IEKBFFFE_00450,OIDPMNJM_01156,LNLMDAFO_03253,,"AOV15720.1, AOV16986.1, AOV17765.1","APZ42412.1, APZ42690.1","OBS07870.1, OBS08545.1, OBS08678.1","AOU97181.1, AOU98053.1, AOU98835.1, AOU99525.1, AOU99739.1",1,0,0,0,0,0,0,0,0,1,1,1,0,3,2,3,5
OG0000060,2,,,,,,,,,"WP_011073762.1, WP_011074258.1","IEKBFFFE_00841, IEKBFFFE_00956","OIDPMNJM_00342, OIDPMNJM_02405","LNLMDAFO_02232, LNLMDAFO_02783",,"AOV16010.1, AOV16752.1, AOV18361.1",,"OBS08079.1, OBS09205.1, OBS09206.1, OBS09219.1, OBS11012.1","AOU96878.1, AOU98345.1, AOU99095.1, AOU99096.1, AOU99103.1",0,0,0,0,0,0,0,0,2,2,2,2,0,3,0,5,5
OG0000063,1,,,,,LFTS_01299,,,,,"IEKBFFFE_02551, IEKBFFFE_03605",OIDPMNJM_01609,LNLMDAFO_00198,"KPCADNOF_01859, KPCADNOF_01860, KPCADNOF_03085, KPCADNOF_03208","AOV17041.1, AOV17140.1",APZ42654.1,"OBS10543.1, OBS10867.1","AOU97692.1, AOU98021.1",0,0,0,0,1,0,0,0,0,2,1,1,4,2,1,2,2
OG0000065,3,WP_230456338.1,,,WP_000753946.1,,,,,WP_011073684.1,"IEKBFFFE_03327, IEKBFFFE_03742, IEKBFFFE_03746","OIDPMNJM_00396, OIDPMNJM_02196","LNLMDAFO_01037, LNLMDAFO_01813","KPCADNOF_00929, KPCADNOF_02326","AOV18324.1, AOV18394.1, AOV18532.1","APZ44225.1, APZ44643.1","OBS08361.1, OBS08446.1, OBS10945.1","AOU96669.1, AOU99496.1, AOU99622.1",1,0,0,1,0,0,0,0,1,3,2,2,2,3,2,3,3
OG0000066,1,,,,,,,,,WP_011070705.1,"IEKBFFFE_02134, IEKBFFFE_02419, IEKBFFFE_03383, IEKBFFFE_03683, IEKBFFFE_03684","OIDPMNJM_00152, OIDPMNJM_00153, OIDPMNJM_00696, OIDPMNJM_01379, OIDPMNJM_01455, OIDPMNJM_03808","LNLMDAFO_00110, LNLMDAFO_00502, LNLMDAFO_01785, LNLMDAFO_01786, LNLMDAFO_02293","KPCADNOF_01027, KPCADNOF_02800","AOV15766.1, AOV16173.1, AOV16409.1","APZ42116.1, APZ43214.1, APZ43458.1, APZ44113.1","OBS09478.1, OBS09624.1, OBS10134.1","AOU97046.1, AOU99335.1",0,0,0,0,0,0,0,0,1,5,6,5,2,3,4,3,2
OG0000068,3,,,,,,,NP_254033.1,,"WP_011071477.1, WP_011074169.1","IEKBFFFE_00091, IEKBFFFE_00324, IEKBFFFE_03342","OIDPMNJM_00441, OIDPMNJM_02155, OIDPMNJM_02488, OIDPMNJM_04846","LNLMDAFO_01540, LNLMDAFO_02686, LNLMDAFO_02921","KPCADNOF_00040, KPCADNOF_00812, KPCADNOF_00991, KPCADNOF_01132, KPCADNOF_01847, KPCADNOF_02602, KPCADNOF_02788, KPCADNOF_03620","AOV16654.1, AOV18031.1",APZ43032.1,"OBS08044.1, OBS09791.1","AOU96907.1, AOU98443.1",0,0,0,0,0,0,1,0,2,3,4,3,8,2,1,2,2
OG0000069,1,,,,,,,NP_250147.1,,,IEKBFFFE_00336,"OIDPMNJM_01922, OIDPMNJM_02167, OIDPMNJM_02633, OIDPMNJM_04303",LNLMDAFO_02933,"KPCADNOF_00030, KPCADNOF_00346, KPCADNOF_02603, KPCADNOF_03374","AOV16588.1, AOV18463.1",APZ43014.1,"OBS09803.1, OBS09877.1","AOU98454.1, AOU98545.1",0,0,0,0,0,0,1,0,0,1,4,1,4,2,1,2,2
OG0000070,1,,,,,,,,,WP_011071837.1,"IEKBFFFE_00449, IEKBFFFE_01269","OIDPMNJM_01157, OIDPMNJM_04801","LNLMDAFO_01757, LNLMDAFO_03254",KPCADNOF_01511,"AOV15721.1, AOV18664.1",APZ42691.1,"OBS08196.1, OBS08544.1, OBS09709.1, OBS09710.1","AOU97180.1, AOU98834.1",0,0,0,0,0,0,0,0,1,2,2,2,1,2,1,4,2
OG0000071,1,,,,,,,,,WP_011071152.1,IEKBFFFE_00650,"OIDPMNJM_00004, OIDPMNJM_00582",LNLMDAFO_00331,KPCADNOF_02023,AOV18504.1,"APZ42807.1, APZ43462.1","OBS10743.1, OBS10850.1","AOU98034.1, AOU98111.1",0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,2,2
OG0000072,1,,,,,,,,,WP_011073980.1,IEKBFFFE_01035,OIDPMNJM_04539,LNLMDAFO_02513,"KPCADNOF_00548, KPCADNOF_01161, KPCADNOF_02183, KPCADNOF_02556",AOV18675.1,APZ44358.1,OBS08284.1,AOU99444.1,0,0,0,0,0,0,0,0,1,1,1,1,4,1,1,1,1
