Orthogroup	MEGAHIT-AR1_L2.36	MEGAHIT-AR2_L2.57	MEGAHIT-AR3_L2.6	MEGAHIT-AR4_L2.41	acidihalobacter_aeolianus	acidihalobacter_ferrooxydans	acidihalobacter_prosperus	acidihalobacter_yilgarnensis	acidithiobacillus_ferrooxidans	acidithiobacillus_thiooxidans	burkholderia_pseudomallei	e_coli	l_ferriphilum.gbk	leptospirillum_ferriphilum	leptospirillum_ferrooxidans	pseudomonas_aeruginosa_pao1	s_maltophilia	shewanella_oneidensis	stenotrophomonas_maltophilia
OG0000282	IEKBFFFE_00986, IEKBFFFE_01366	OIDPMNJM_00068, OIDPMNJM_01418	LNLMDAFO_01458, LNLMDAFO_01847	KPCADNOF_00167, KPCADNOF_00606, KPCADNOF_02510, KPCADNOF_02511, KPCADNOF_03021	AOV16301.1	APZ43565.1	OBS08520.1	AOU97161.1	WP_009567592.1, WP_012606601.1	WP_010636961.1, WP_010636963.1	WP_004200770.1	WP_000571480.1				NP_251099.1, NP_254188.1		WP_011070906.1	
OG0000283	IEKBFFFE_01034	OIDPMNJM_04540	LNLMDAFO_02512	KPCADNOF_00632, KPCADNOF_01263, KPCADNOF_01482	AOV18204.1	APZ44359.1	OBS08283.1	AOU96718.1	WP_009562611.1	WP_010640538.1	WP_004194401.1, WP_004531451.1	WP_000383469.1, WP_000451243.1	LFTS_00788	WP_036084097.1	WP_014449799.1	NP_248715.1, NP_248935.1	WP_012481556.1	WP_011070456.1	WP_012481556.1
OG0000284	IEKBFFFE_01409	OIDPMNJM_00277	LNLMDAFO_00675	KPCADNOF_02772	AOV15713.1, AOV17393.1	APZ42887.1	OBS08878.1, OBS09700.1	AOU97445.1, AOU97463.1, AOU97464.1, AOU97824.1	WP_009567513.1		WP_004192678.1, WP_004198742.1	WP_000349855.1	LFTS_01993	WP_036082116.1	WP_014448854.1	NP_249201.1, NP_250469.1, NP_251301.1		WP_011073514.1	
OG0000285	IEKBFFFE_01431, IEKBFFFE_01437	OIDPMNJM_02360, OIDPMNJM_02366	LNLMDAFO_02187, LNLMDAFO_02193		AOV18260.1	APZ42154.1, APZ42192.1	OBS09526.1	AOU99382.1			WP_004189082.1, WP_004190145.1	WP_000108160.1				NP_251383.1, NP_252430.1, NP_254058.1, NP_254206.1	WP_005407672.1, WP_005412266.1	WP_011072593.1, WP_011072708.1	WP_005407672.1, WP_005412266.1
OG0000286	IEKBFFFE_01507, IEKBFFFE_01872	OIDPMNJM_02565, OIDPMNJM_02629	LNLMDAFO_00083		AOV15811.1	APZ41872.1	OBS08653.1, OBS09439.1, OBS09510.1	AOU99369.1			WP_004187240.1, WP_004190343.1, WP_004195154.1, WP_004546463.1	WP_000622280.1				NP_249832.1, NP_249955.1, NP_250805.1, NP_251187.1, NP_251536.1, NP_252684.1	WP_012480566.1		WP_012480566.1
OG0000287	IEKBFFFE_01832	OIDPMNJM_00833	LNLMDAFO_01442		AOV16275.1		OBS08480.1	AOU99502.1		WP_010640077.1	WP_004184894.1	WP_000093589.1	LFTS_02084	WP_014961745.1	WP_014449168.1	NP_249531.1, NP_250025.1, NP_251622.1, NP_253046.1	WP_012480623.1, WP_012481243.1	WP_011072429.1, WP_011072430.1, WP_011073258.1, WP_011073850.1	WP_012480623.1, WP_012481243.1
OG0000288	IEKBFFFE_01845, IEKBFFFE_02895	OIDPMNJM_03021, OIDPMNJM_03727	LNLMDAFO_00866, LNLMDAFO_01239	KPCADNOF_02748	AOV17320.1	APZ43861.1, APZ44751.1	OBS10348.1	AOU97536.1	WP_009566653.1	WP_010641701.1, WP_080570778.1	WP_004185492.1	WP_000545042.1	LFTS_00691	WP_036083081.1	WP_014449861.1	NP_251330.1	WP_005410460.1	WP_011071283.1	WP_005410460.1
OG0000289	IEKBFFFE_01847, IEKBFFFE_02897	OIDPMNJM_03023, OIDPMNJM_03725	LNLMDAFO_00868, LNLMDAFO_01241	KPCADNOF_00147, KPCADNOF_01045	AOV17318.1	APZ43859.1, APZ44280.1	OBS10350.1		WP_012537300.1	WP_010640730.1, WP_010641705.1	WP_004533634.1	WP_000190939.1	LFTS_00693	WP_081938182.1	WP_158310264.1	NP_251332.1	WP_012480881.1	WP_011071281.1	WP_012480881.1
OG0000290	IEKBFFFE_01848, IEKBFFFE_02898	OIDPMNJM_03024, OIDPMNJM_03689, OIDPMNJM_03724	LNLMDAFO_00869, LNLMDAFO_01242		AOV17317.1	APZ43858.1, APZ44279.1	OBS10351.1	AOU97538.1	WP_009565424.1	WP_010640728.1, WP_010641708.1	WP_004196426.1	WP_000118507.1	LFTS_00694	WP_014960679.1	WP_014449858.1	NP_251333.1	WP_005410457.1	WP_011071280.1	WP_005410457.1
OG0000291	IEKBFFFE_01849, IEKBFFFE_02899	OIDPMNJM_03025, OIDPMNJM_03688, OIDPMNJM_03723	LNLMDAFO_00870, LNLMDAFO_01243		AOV17316.1	APZ43857.1, APZ44750.1	OBS10352.1	AOU97539.1	WP_012537299.1	WP_010640726.1, WP_010641710.1	WP_004186558.1	WP_000172749.1	LFTS_00695	WP_036083086.1	WP_014449857.1	NP_251334.1	WP_005410456.1	WP_011071279.1	WP_005410456.1
OG0000292	IEKBFFFE_01854, IEKBFFFE_02904	OIDPMNJM_01850, OIDPMNJM_02184, OIDPMNJM_03030, OIDPMNJM_03718	LNLMDAFO_00875, LNLMDAFO_01248		AOV17312.1	APZ43853.1, APZ44274.1	OBS10357.1		WP_012537295.1	WP_010640719.1, WP_010641735.1	WP_004186468.1	WP_000156701.1	LFTS_00700	WP_036083096.1	WP_014449852.1	NP_251339.1	WP_005410451.1	WP_011071274.1	WP_005410451.1
OG0000293	IEKBFFFE_01856	OIDPMNJM_03716	LNLMDAFO_01250	KPCADNOF_01766	AOV18087.1, AOV18498.1	APZ44272.1	OBS08120.1	AOU96849.1	WP_009567621.1	WP_010642491.1	WP_004522067.1	WP_000153502.1, WP_000218480.1	LFTS_00052	WP_036079710.1	WP_014448277.1	NP_249242.1, NP_251885.1	WP_005414333.1	WP_011070877.1, WP_011071211.1, WP_011072334.1	WP_005414333.1
OG0000294	IEKBFFFE_02304	OIDPMNJM_01746	LNLMDAFO_00585		AOV16553.1	APZ42024.1, APZ42087.1	OBS08810.1	AOU97378.1			WP_004552915.1	WP_000810499.1, WP_001310597.1, WP_001336303.1	LFTS_00498, LFTS_00499	WP_036081424.1, WP_036081427.1	WP_014449228.1, WP_014449229.1	NP_250842.1	WP_012480367.1, WP_044569629.1	WP_011072238.1	WP_012480367.1, WP_044569629.1
OG0000295	IEKBFFFE_02508	OIDPMNJM_00481	LNLMDAFO_00155		AOV17174.1		OBS10504.1	AOU97657.1	WP_009565289.1, WP_012537237.1	WP_010638201.1, WP_029316213.1	WP_004193992.1, WP_004544392.1	WP_000056849.1, WP_000101193.1, WP_000241011.1, WP_001209795.1				NP_249889.1, NP_249890.1, NP_252162.1	WP_012480916.1, WP_223846497.1	WP_011070475.1	WP_012480916.1, WP_223846497.1
OG0000296	IEKBFFFE_02543	OIDPMNJM_01601, OIDPMNJM_02290, OIDPMNJM_02728	LNLMDAFO_00190	KPCADNOF_00488	AOV17047.1	APZ42504.1	OBS10875.1	AOU98015.1	WP_012536161.1	WP_010637137.1	WP_004532144.1	WP_000284714.1, WP_001251348.1	LFTS_01340	WP_052157892.1	WP_014449568.1	NP_251676.1, NP_251678.1	WP_005409082.1	WP_011072269.1, WP_011072271.1	WP_005409082.1
OG0000297	IEKBFFFE_02963	OIDPMNJM_02219	LNLMDAFO_01280	KPCADNOF_00462	AOV16372.1	APZ42242.1	OBS10158.1	AOU98820.1	WP_009562815.1	WP_010641528.1	WP_004191166.1	WP_000110772.1, WP_001264707.1, WP_001290310.1	LFTS_01357	WP_036082792.1	WP_014449307.1	NP_249595.1	WP_012480025.1	WP_011073273.1, WP_011073283.1, WP_011073717.1, WP_011073768.1	WP_012480025.1
OG0000298	IEKBFFFE_02995	OIDPMNJM_00763	LNLMDAFO_02583	KPCADNOF_02909	AOV15931.1, AOV17799.1	APZ41958.1, APZ42204.1	OBS09308.1, OBS10240.1	AOU98932.1, AOU99808.1	WP_012537469.1, WP_012537472.1	WP_010639277.1, WP_226825848.1	WP_004522915.1	WP_000685029.1	LFTS_00312	WP_014960129.1	WP_014448617.1	NP_253974.1	WP_043034922.1		WP_043034922.1
OG0000299	IEKBFFFE_03073, IEKBFFFE_03091	OIDPMNJM_01016, OIDPMNJM_01034	LNLMDAFO_01491, LNLMDAFO_01509	KPCADNOF_01422	AOV16430.1, AOV17520.1, AOV17532.1	APZ43907.1, APZ43924.1	OBS09924.1, OBS09942.1, OBS10111.1	AOU98589.1, AOU98783.1	WP_226834140.1	WP_010637933.1		WP_000892044.1				NP_249698.1	WP_012479351.1	WP_011072783.1	WP_012479351.1
OG0000300	IEKBFFFE_03092	OIDPMNJM_01035	LNLMDAFO_01510	KPCADNOF_02791	AOV15730.1		OBS08697.1	AOU99131.1			WP_004192889.1, WP_004521511.1, WP_004524603.1, WP_004525259.1	WP_000140873.1, WP_001138581.1			WP_158310257.1	NP_250163.1, NP_251938.1	WP_012479721.1, WP_012480010.1, WP_012481118.1	WP_011071953.1, WP_164925634.1	WP_012479721.1, WP_012480010.1, WP_012481118.1
OG0000301	IEKBFFFE_03203	OIDPMNJM_04154	LNLMDAFO_03104	KPCADNOF_00761	AOV15903.1	APZ42009.1, APZ43138.1	OBS09332.1	AOU96955.1	WP_012536955.1		WP_004191725.1	WP_001259810.1	LFTS_00838, LFTS_01935	WP_023525637.1, WP_099590579.1	WP_148272594.1, WP_232502586.1	NP_251663.1	WP_005411204.1, WP_012479824.1	WP_011072397.1	WP_005411204.1, WP_012479824.1
OG0000302	IEKBFFFE_03210	OIDPMNJM_04161	LNLMDAFO_03111	KPCADNOF_01279	AOV17064.1	APZ42669.1	OBS10899.1	AOU97998.1	WP_180830519.1	WP_193759766.1	WP_004198213.1, WP_004202790.1, WP_004524613.1, WP_004525514.1	WP_000288132.1	LFTS_02162	WP_081938105.1	WP_014450099.1	NP_249690.1, NP_252023.1	WP_005408309.1	WP_011072713.1, WP_011072771.1	WP_005408309.1
OG0000303	IEKBFFFE_03366	OIDPMNJM_01890, OIDPMNJM_02916	LNLMDAFO_01796	KPCADNOF_01569, KPCADNOF_01912, KPCADNOF_02643	AOV15873.1	APZ42012.1	OBS09379.1	AOU99254.1	WP_009567477.1, WP_012536359.1	WP_010637217.1	WP_004190040.1	WP_000965722.1	LFTS_01538	WP_036083247.1	WP_158310241.1	NP_064725.1	WP_005414875.1	WP_011070907.1, WP_011074021.1	WP_005414875.1
OG0000304	IEKBFFFE_03468	OIDPMNJM_02014			AOV16006.1, AOV16751.1	APZ42434.1	OBS09091.1, OBS09223.1, OBS11013.1	AOU98346.1, AOU99018.1, AOU99107.1	WP_012537362.1, WP_225487342.1		WP_004199894.1		LFTS_00821, LFTS_01942	WP_023525062.1, WP_036083514.1	WP_014448905.1, WP_014449725.1	NP_253120.1	WP_012479669.1	WP_011070939.1	WP_012479669.1
OG0000305					AOV16429.1, AOV18643.1		OBS09166.1, OBS10112.1	AOU98784.1, AOU99069.1	WP_009560876.1, WP_012536859.1	WP_010639481.1, WP_029316194.1	WP_004197906.1, WP_004553875.1	WP_000767389.1, WP_001306955.1	LFTS_00404, LFTS_01230	WP_020859309.1, WP_099590526.1	WP_014449192.1, WP_014449769.1		WP_012478723.1	WP_011072051.1, WP_238560541.1	WP_012478723.1
OG0000306					AOV17737.1	APZ43833.1	OBS07865.1, OBS08580.1, OBS08864.1, OBS08924.1, OBS10292.1	AOU97213.1, AOU99567.1	WP_012536510.1, WP_012537183.1	WP_010639132.1, WP_010642689.1	WP_004529212.1	WP_000951292.1	LFTS_02043	WP_201770201.1		NP_249088.1, NP_249988.1	WP_012478994.1, WP_012479566.1	WP_011072118.1	WP_012478994.1, WP_012479566.1
OG0000307											WP_004524117.1	WP_001068910.1				NP_248840.1, NP_249162.1, NP_249992.1, NP_250055.1, NP_250601.1, NP_250741.1, NP_250784.1, NP_251078.1, NP_251157.1, NP_252099.1, NP_252589.1, NP_253582.1	WP_012480388.1, WP_012480531.1, WP_012480593.1, WP_044570307.1, WP_044570831.1		WP_012480388.1, WP_012480531.1, WP_012480593.1, WP_044570307.1, WP_044570831.1
OG0000308	IEKBFFFE_00076	OIDPMNJM_02473	LNLMDAFO_02671	KPCADNOF_03639	AOV16314.1, AOV16448.1	APZ41825.1, APZ43697.1	OBS08535.1, OBS10087.1	AOU97172.1, AOU98762.1	WP_009561052.1	WP_010638644.1	WP_004191241.1	WP_000204658.1	LFTS_01454	WP_036083831.1	WP_014449251.1	NP_249032.1	WP_012479192.1	WP_011071543.1	WP_012479192.1
OG0000309	IEKBFFFE_00165	OIDPMNJM_01770, OIDPMNJM_01823	LNLMDAFO_01301		AOV16957.1	APZ43651.1	OBS10753.1	AOU98103.1	WP_012536833.1	WP_010639787.1	WP_004198623.1, WP_004523238.1, WP_004532085.1, WP_004553359.1	WP_000191372.1	LFTS_02161	WP_036082058.1	WP_014450098.1	NP_248905.1, NP_251658.1	WP_012479288.1	WP_011072712.1	WP_012479288.1
OG0000310	IEKBFFFE_00209	OIDPMNJM_01201	LNLMDAFO_03036	KPCADNOF_01539	AOV17184.1	APZ44529.1	OBS10993.1	AOU97849.1	WP_009569771.1, WP_012606780.1, WP_012607113.1, WP_215905525.1	WP_010641130.1, WP_226825919.1	WP_004535884.1	WP_001229265.1	LFTS_01360	WP_014961028.1	WP_014449310.1	NP_251428.1	WP_005410432.1	WP_011072151.1	WP_005410432.1
OG0000311	IEKBFFFE_00218	OIDPMNJM_02031	LNLMDAFO_01590	KPCADNOF_01784, KPCADNOF_03739	AOV17053.1	APZ43421.1	OBS10886.1	AOU98008.1	WP_009566072.1	WP_169312587.1	WP_004186294.1	WP_000537418.1	LFTS_02417	WP_036080888.1	WP_014450348.1	NP_249540.1, NP_251306.1	WP_005409600.1, WP_012480204.1	WP_011072304.1	WP_005409600.1, WP_012480204.1
OG0000312	IEKBFFFE_00224	OIDPMNJM_02025	LNLMDAFO_01596	KPCADNOF_00186	AOV17058.1	APZ42955.1, APZ43426.1	OBS10892.1	AOU98003.1	WP_012536280.1, WP_049759412.1	WP_010637453.1	WP_004192881.1, WP_226992992.1	WP_001295622.1	LFTS_00023	WP_052157675.1		NP_250331.1, NP_252029.1	WP_005411784.1	WP_011072756.1, WP_164925601.1	WP_005411784.1
OG0000313	IEKBFFFE_00231	OIDPMNJM_02018	LNLMDAFO_01603		AOV16901.1		OBS09991.1, OBS10687.1	AOU98186.1	WP_012537708.1, WP_012607606.1	WP_010638457.1, WP_010640942.1, WP_010642928.1	WP_004190175.1, WP_004194054.1		LFTS_00773	WP_052157947.1	WP_014449813.1	NP_249349.1, NP_253519.1	WP_012479069.1	WP_011070853.1, WP_011073249.1	WP_012479069.1
OG0000314	IEKBFFFE_00319	OIDPMNJM_02150	LNLMDAFO_02916	KPCADNOF_01587, KPCADNOF_02600	AOV16658.1, AOV18449.1		OBS09785.1, OBS09872.1	AOU98439.1, AOU98540.1			WP_009932209.1	WP_000204337.1	LFTS_00223	WP_023524370.1		NP_248865.1, NP_249103.1, NP_252038.1	WP_012480090.1	WP_011072317.1, WP_164925686.1, WP_164925741.1	WP_012480090.1
OG0000315	IEKBFFFE_00333	OIDPMNJM_02164	LNLMDAFO_02930	KPCADNOF_02605, KPCADNOF_02978, KPCADNOF_02984	AOV16593.1, AOV16648.1		OBS09800.1, OBS09870.1	AOU98452.1, AOU99707.1			WP_004198645.1	WP_000036361.1	LFTS_00226	WP_023524367.1		NP_248863.1, NP_250150.1	WP_005409510.1	WP_011072189.1, WP_011072319.1, WP_011073092.1	WP_005409510.1
OG0000316	IEKBFFFE_00348, IEKBFFFE_03701	OIDPMNJM_01309, OIDPMNJM_02179, OIDPMNJM_05141	LNLMDAFO_02945	KPCADNOF_03274	AOV16637.1	APZ43015.1	OBS09816.1	AOU98463.1		WP_010639919.1	WP_004196785.1	WP_000133106.1	LFTS_00212	WP_014960005.1	WP_014448494.1	NP_250133.1, NP_253920.1	WP_012480107.1	WP_011070537.1, WP_011073106.1	WP_012480107.1
OG0000317	IEKBFFFE_00402, IEKBFFFE_01141, IEKBFFFE_02344	OIDPMNJM_00459, OIDPMNJM_01851, OIDPMNJM_03515, OIDPMNJM_04988	LNLMDAFO_02605, LNLMDAFO_03302	KPCADNOF_03592	AOV15802.1, AOV17751.1	APZ42752.1	OBS09448.1	AOU97198.1, AOU99310.1		WP_029316046.1	WP_004525706.1	WP_000438957.1				NP_248700.1	WP_012479338.1	WP_011070432.1	WP_012479338.1
OG0000318	IEKBFFFE_00455, IEKBFFFE_02985	OIDPMNJM_00773, OIDPMNJM_01151	LNLMDAFO_02593, LNLMDAFO_03248		AOV16343.1	APZ44535.1	OBS08401.1, OBS10199.1	AOU96637.1, AOU98901.1	WP_012536462.1	WP_226825994.1, WP_238529081.1		WP_000375961.1, WP_001343212.1				NP_253765.1	WP_012478684.1	WP_011072170.1, WP_011072674.1, WP_164925635.1	WP_012478684.1
OG0000319	IEKBFFFE_00473, IEKBFFFE_03303	OIDPMNJM_01337, OIDPMNJM_04616	LNLMDAFO_01070, LNLMDAFO_02349	KPCADNOF_01646, KPCADNOF_01807, KPCADNOF_02068, KPCADNOF_02069	AOV17437.1, AOV18242.1	APZ42185.1	OBS09126.1	AOU97391.1, AOU99781.1			WP_004186320.1, WP_004186709.1	WP_000029634.1				NP_254037.1, NP_254038.1	WP_012481171.1		WP_012481171.1
OG0000320	IEKBFFFE_00495	OIDPMNJM_03150, OIDPMNJM_04735	LNLMDAFO_01092	KPCADNOF_01883	AOV18503.1	APZ44536.1	OBS10739.1	AOU99651.1	WP_012537590.1, WP_180830455.1	WP_010639263.1, WP_010640780.1	WP_004524032.1	WP_001295624.1	LFTS_02015, LFTS_02359	WP_036080750.1, WP_036082130.1	WP_014449146.1, WP_014450273.1	NP_249433.2		WP_011074411.1	
OG0000321	IEKBFFFE_00503	OIDPMNJM_00336	LNLMDAFO_01100		AOV18358.1, AOV18531.1	APZ41944.1, APZ42836.1, APZ44538.1, APZ44588.1	OBS09231.1, OBS10934.1	AOU97923.1, AOU99793.1	WP_012536251.1	WP_010636842.1, WP_010636933.1	WP_004522902.1	WP_000971336.1				NP_248803.1, NP_250012.1	WP_005407798.1	WP_011074210.1	WP_005407798.1
OG0000322	IEKBFFFE_00654	OIDPMNJM_00385, OIDPMNJM_00586	LNLMDAFO_00327, LNLMDAFO_01026	KPCADNOF_03169	AOV16925.1	APZ43460.1	OBS08979.1, OBS10715.1	AOU98139.1	WP_012536160.1	WP_010637127.1, WP_238529112.1	WP_004191649.1	WP_000813200.1	LFTS_00934	WP_036082301.1	WP_014449394.1	NP_252414.1	WP_044571328.1	WP_011071232.1	WP_044571328.1
OG0000323	IEKBFFFE_00787	OIDPMNJM_05081	LNLMDAFO_03240	KPCADNOF_00283	AOV15754.1	APZ41723.1	OBS09490.1	AOU99346.1	WP_009566656.1, WP_012536063.1, WP_012536755.1, WP_012537072.1	WP_010640044.1, WP_010641355.1	WP_004194262.1	WP_001285288.1	LFTS_00105	WP_052157692.1	WP_014448400.1	NP_253255.1	WP_043035348.1	WP_011071362.1	WP_043035348.1
OG0000324	IEKBFFFE_00876, IEKBFFFE_01538	OIDPMNJM_02248, OIDPMNJM_03451	LNLMDAFO_01604, LNLMDAFO_02841	KPCADNOF_00400, KPCADNOF_02106, KPCADNOF_02209, KPCADNOF_03127	AOV17206.1	APZ42823.1, APZ42938.1, APZ42940.1, APZ42965.1	OBS10471.1	AOU97628.1	WP_012536784.1	WP_010638198.1		WP_000906252.1				NP_251860.1	WP_005410380.1		WP_005410380.1
OG0000325	IEKBFFFE_00885	OIDPMNJM_02257, OIDPMNJM_02924	LNLMDAFO_01613	KPCADNOF_02160, KPCADNOF_02884		APZ42572.1, APZ42812.1	OBS10480.1	AOU97635.1, AOU97781.1	WP_009567461.1, WP_012606914.1	WP_010638105.1	WP_004189865.1	WP_000167336.1	LFTS_00839	WP_014960834.1	WP_014449699.1	NP_251851.1	WP_005409286.1	WP_011072380.1	WP_005409286.1
OG0000326	IEKBFFFE_01008	OIDPMNJM_04565	LNLMDAFO_02486		AOV16029.1, AOV18183.1	APZ43628.1	OBS08259.1, OBS09196.1	AOU96735.1, AOU99087.1	WP_215905594.1	WP_010638875.1, WP_010638924.1	WP_004188531.1, WP_004529578.1, WP_004531833.1	WP_000611911.1				NP_250235.1	WP_005409422.1, WP_010485317.1	WP_011072343.1	WP_005409422.1, WP_010485317.1
OG0000327	IEKBFFFE_01043, IEKBFFFE_03027	OIDPMNJM_02055, OIDPMNJM_02124	LNLMDAFO_01891, LNLMDAFO_02521	KPCADNOF_00572	AOV16248.1, AOV16596.1	APZ44411.1	OBS07985.1, OBS08450.1	AOU97103.1	WP_012536171.1	WP_010641538.1	WP_004522206.1					NP_251396.1, NP_251412.1, NP_252866.1, NP_254152.1	WP_005408774.1	WP_011071172.1	WP_005408774.1
OG0000328	IEKBFFFE_01057, IEKBFFFE_03599	OIDPMNJM_03916, OIDPMNJM_05268	LNLMDAFO_02124	KPCADNOF_03816	AOV17570.1, AOV18575.1	APZ42825.1	OBS09995.1	AOU98652.1	WP_012537505.1	WP_010636879.1, WP_010638492.1	WP_004194035.1, WP_004534035.1		LFTS_01812	WP_036082905.1	WP_014449520.1	NP_250077.1, NP_254137.1	WP_012479056.1		WP_012479056.1
OG0000329	IEKBFFFE_01100	OIDPMNJM_01558	LNLMDAFO_02167	KPCADNOF_02246	AOV18479.1	APZ43239.1	OBS11047.1	AOU98373.1	WP_012536440.1	WP_010639892.1	WP_004193235.1, WP_004197098.1	WP_001018194.1	LFTS_01642	WP_036084192.1	WP_014449099.1	NP_251438.1, NP_252347.1	WP_010486307.1, WP_173364577.1	WP_011071783.1	WP_010486307.1, WP_173364577.1
OG0000330	IEKBFFFE_01247	OIDPMNJM_03388	LNLMDAFO_01716		AOV18500.1	APZ43060.1	OBS10636.1	AOU99663.1	WP_009563003.1, WP_009566456.1	WP_010638753.1	WP_004550200.1	WP_000028953.1, WP_000367160.1	LFTS_00419, LFTS_01170	WP_014960239.1, WP_180271588.1	WP_014450011.1, WP_014450559.1	NP_252501.1	WP_005410230.1	WP_011072278.1	WP_005410230.1
OG0000331	IEKBFFFE_01330	OIDPMNJM_01288	LNLMDAFO_02560	KPCADNOF_01337, KPCADNOF_01338	AOV18489.1	APZ44629.1	OBS10977.1	AOU97871.1	WP_012537145.1	WP_010640389.1	WP_004527208.1	WP_000970102.1	LFTS_01625, LFTS_01626	WP_036083384.1, WP_081938199.1	WP_041774023.1, WP_050989482.1	NP_252452.1	WP_012479109.1	WP_011073168.1	WP_012479109.1
OG0000332	IEKBFFFE_01393	OIDPMNJM_01253, OIDPMNJM_03915	LNLMDAFO_02000	KPCADNOF_02505	AOV17557.1	APZ42307.1	OBS09971.1	AOU98630.1	WP_012606598.1	WP_010641994.1	WP_004189366.1	WP_001278605.1	LFTS_00425	WP_036081266.1	WP_014450005.1	NP_252672.1	WP_005408827.1, WP_032966609.1	WP_011071409.1, WP_011072744.1	WP_005408827.1, WP_032966609.1
OG0000333	IEKBFFFE_01460	OIDPMNJM_02389, OIDPMNJM_04772	LNLMDAFO_02216	KPCADNOF_00916	AOV15867.1	APZ41919.1, APZ41977.1	OBS09386.1	AOU99260.1	WP_012536152.1	WP_010642926.1	WP_004525685.1	WP_001076742.1	LFTS_00665	WP_036083045.1, WP_052157955.1	WP_041774194.1, WP_148272607.1	NP_252652.1	WP_012480362.1	WP_011074103.1	WP_012480362.1
OG0000334	IEKBFFFE_01498	OIDPMNJM_00569, OIDPMNJM_03071, OIDPMNJM_03534	LNLMDAFO_01019	KPCADNOF_01559, KPCADNOF_02612	AOV17628.1		OBS10056.1	AOU98732.1	WP_012537424.1	WP_010637649.1	WP_004523589.1	WP_000187594.1, WP_000209011.1, WP_000225262.1, WP_000291270.1, WP_001171687.1, WP_001200769.1, WP_001219309.1					WP_044571016.1	WP_011071808.1	WP_044571016.1
OG0000335	IEKBFFFE_01544	OIDPMNJM_04716	LNLMDAFO_01401	KPCADNOF_00072, KPCADNOF_00567	AOV18611.1	APZ42267.1	OBS08620.1	AOU97248.1	WP_009566995.1	WP_010639155.1	WP_004185841.1	WP_000007283.1, WP_000122641.1				NP_253056.1, NP_253158.1	WP_005410310.1, WP_012479673.1, WP_012480516.1	WP_011072792.1	WP_005410310.1, WP_012479673.1, WP_012480516.1
OG0000336	IEKBFFFE_01629, IEKBFFFE_03380	OIDPMNJM_01382, OIDPMNJM_02775	LNLMDAFO_00107		AOV16176.1	APZ42113.1	OBS09621.1	AOU97049.1	WP_012536036.1	WP_010641273.1	WP_004522315.1, WP_004532246.1, WP_004536857.1	WP_001264584.1	LFTS_01304, LFTS_01305	WP_036082754.1, WP_036082863.1	WP_014449611.1, WP_232502511.1	NP_253698.1		WP_011074269.1	
OG0000337	IEKBFFFE_01743	OIDPMNJM_02719	LNLMDAFO_00608	KPCADNOF_00371, KPCADNOF_01844, KPCADNOF_02278	AOV17717.1	APZ44475.1	OBS08605.1	AOU97234.1	WP_012536514.1	WP_010638768.1	WP_004197666.1	WP_000893623.1	LFTS_00655	WP_052157798.1	WP_148272610.1	NP_248862.1, NP_254048.1, NP_254171.1	WP_005408257.1	WP_011071728.1	WP_005408257.1
OG0000338	IEKBFFFE_01760, IEKBFFFE_02666	OIDPMNJM_00661, OIDPMNJM_02537	LNLMDAFO_01638, LNLMDAFO_03418		AOV16068.1		OBS08347.1	AOU97700.1			WP_004527615.1, WP_004546727.1, WP_004553117.1, WP_004553913.1, WP_041281264.1					NP_249953.1, NP_250007.1, NP_250745.1	WP_005408163.1, WP_012479477.1, WP_012481338.1		WP_005408163.1, WP_012479477.1, WP_012481338.1
OG0000339	IEKBFFFE_01807		LNLMDAFO_01222		AOV15805.1, AOV16801.1, AOV18366.1			AOU98423.1	WP_009566298.1, WP_041646055.1	WP_010637012.1, WP_010638914.1, WP_010642615.1		WP_000781370.1, WP_000806442.1	LFTS_00013, LFTS_01206, LFTS_01212, LFTS_01749	WP_014961438.1, WP_036083954.1, WP_099590506.1, WP_099590511.1		NP_253363.1		WP_011074361.1	
OG0000340	IEKBFFFE_01844, IEKBFFFE_02894	OIDPMNJM_03020, OIDPMNJM_03728	LNLMDAFO_00865, LNLMDAFO_01238		AOV18550.1	APZ43862.1, APZ44282.1	OBS10347.1	AOU97535.1	WP_012537302.1	WP_010640735.1, WP_010641700.1	WP_004185833.1	WP_000247879.1	LFTS_00690	WP_081938181.1	WP_232502515.1	NP_251329.1	WP_005410461.1	WP_202950654.1	WP_005410461.1
OG0000341	IEKBFFFE_01850, IEKBFFFE_02900	OIDPMNJM_03026, OIDPMNJM_03722	LNLMDAFO_00871, LNLMDAFO_01244		AOV18549.1	APZ44278.1, APZ44706.1	OBS10353.1	AOU97540.1	WP_009565427.1	WP_010640724.1, WP_010641711.1	WP_004553853.1	WP_000393511.1	LFTS_00696	WP_052157948.1	WP_014449856.1	NP_251335.1	WP_010486441.1	WP_011071278.1	WP_010486441.1
OG0000342	IEKBFFFE_01853, IEKBFFFE_02903	OIDPMNJM_03029, OIDPMNJM_03719	LNLMDAFO_00874, LNLMDAFO_01247		AOV17313.1	APZ43854.1, APZ44275.1	OBS10356.1	AOU97542.1	WP_012537296.1	WP_010640720.1, WP_010641734.1	WP_004186137.1	WP_000926441.1	LFTS_00699	WP_036083094.1	WP_041774286.1	NP_251338.1	WP_005410452.1	WP_011071275.1	WP_005410452.1
